,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50,Glance-EA-50-55,Glance-EA-50-60,Glance-EA-50-65,Glance-EA-50-70,Glance-EA-50-75,Glance-EA-50-80,Glance-EA-50-85,Glance-EA-50-90,Glance-EA-50-95,Glance-EA-50-100
tika-1.7,27,12,5,7,84,7,5,11,297,14,665,771,434,14,93,235,249,263,267,267
tika-1.10,5,108,152,289,7,409,452,12,582,706,1072,32,6,6,1,235,249,263,267,267
tika-1.13,5,32,5,14,205,5,481,527,473,170,6,124,694,10,32,235,249,263,267,267
tika-1.15,27,243,58,180,402,37,489,252,54,2241,419,124,13,262,151,1481,1507,1521,1525,1525
tika-1.17,39,320,245,322,2,37,148,310,740,1670,418,456,171,313,54,1238,1264,1278,1282,1282
ww-2.0.5,1,43,58,497,12,415,56,5,72,370,1,6,130,111,26,143,143,143,143,143
ww-2.0.10,9,13,13,13,13,13,13,10,13,13,13,10,13,72,7,2,2,2,2,2
ww-2.1.1,33,64,6,40,78,12,88,12,6,148,181,550,155,236,6,2,2,2,2,2
ww-2.1.3,2,15,2,33,68,14,231,40,7,12,26,39,1,30,1,2,2,2,2,2
ww-2.1.7,13,2,126,14,11,1,133,15,12,321,88,16,377,30,1,2,2,2,2,2
ww-2.2.0,11,2,393,7,106,316,562,7,1910,136,2872,6,2732,2,2,2,3185,3236,3262,3262
ww-2.2.2,1,254,239,1,64,345,20,3690,604,64,208,141,171,2,335,2,3185,3236,3262,3262
ww-2.3.1,2,7,687,724,1198,1302,2,501,469,2685,1310,348,3979,7802,2351,3069,3185,3236,3262,3262
ww-2.3.4,14,453,12,142,641,10,11,104,1179,25,881,406,14,7802,7355,3072,2828,2879,2905,2905
ww-2.3.10,39,108,1252,13,256,193,2051,1927,2,1692,2075,3829,10810,7634,6885,3072,872,923,949,949
ww-2.3.15,567,636,1195,1207,83,132,225,43,168,5,188,2937,2941,7634,7064,1893,872,923,949,949
ww-2.3.17,67,1013,196,36,453,450,2003,595,303,473,508,2,3981,14180,13128,13382,13520,13586,13612,13612
ww-2.3.20,419,452,971,3,634,2485,8584,1544,3584,184,1036,5783,8240,16483,13156,13411,13551,13618,13644,13644
ww-2.3.24,466,400,443,133,3,185,9372,254,2,525,3346,35,8552,13363,13162,13418,13558,13626,13652,13652
zookeeper-3.5.1,76,58,103,1,139,51,173,1,192,192,228,800,266,598,116,5,529,529,529,529
zookeeper-3.5.2,79,100,103,4,204,307,173,4,192,224,228,4,266,451,1009,1153,1191,1193,1193,1193
zookeeper-3.5.3,25,25,27,28,25,25,25,25,28,26,26,25,25,25,25,2112,2150,2152,2152,2152
