,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50
mng-3.6.0,0.0101644483939572,0.0206184537657384,0.0312022605413717,0.0416462811897796,0.0519904546044551,0.0623845516359969,0.0729284195181372,0.0834623026769043,0.0940061705590446,0.1044302217607061
nifi-1.2.0,0.0229964170303332,0.046903220767556,0.0708588388054164,0.0949975104706674,0.1190458756797391,0.1431723437698308,0.1674672211971219,0.1921013580138437,0.2165133897626648,0.2414013609427018
nifi-1.5.0,0.0209027717546185,0.0426047306925049,0.0643294055451613,0.0862853697118383,0.1082330735458717,0.1302406647915711,0.152322599031063,0.1747225560773332,0.1969345905559616,0.2195679019994135
nifi-1.8.0,0.0168050310848141,0.0341582476756035,0.051502477618754,0.0690264405146832,0.0865324301153346,0.1040474063636249,0.1215839505662486,0.1393002277216511,0.1568906918101085,0.1747723232820675
nutch-1.3,0.021755589204596,0.0441346753362429,0.0667809744366259,0.0896722187583504,0.1128752115436002,0.1354324396544045,0.1586799679344437,0.1818829607196936,0.2050859535049434,0.2292019239333749
nutch-1.4,0.0193770536075977,0.0391592024125669,0.0590763829499932,0.0794886798397623,0.09996849259576,0.1200882207318719,0.140658054642841,0.1611378673988387,0.1816626907323221,0.2029301885943196
nutch-1.5,0.0193247347801206,0.038979618787692,0.059140731610688,0.0792798344851873,0.0995069771536734,0.1196680899766694,0.1402033719241097,0.1605625742835761,0.1810098164370295,0.2023374565303517
nutch-1.6,0.0195243243243243,0.0392432432432432,0.0593297297297297,0.079827027027027,0.1000864864864864,0.1202162162162162,0.1408648648648648,0.1613837837837838,0.182054054054054,0.2035891891891892
nutch-1.7,0.0190912969283276,0.0384598976109215,0.0582337883959044,0.0781996587030716,0.0979095563139931,0.1176834470989761,0.1376706484641638,0.1578498293515358,0.1780930034129692,0.199018771331058
nutch-1.8,0.0186808838536351,0.0375283753670575,0.0566674302851073,0.0761397005227315,0.0951746256534144,0.1145427661036716,0.1339942103838224,0.1536955661536539,0.1733552700085386,0.193577274715205
nutch-1.9,0.0170405476566614,0.0344181147972617,0.0520695102685624,0.0698683517640863,0.087519747235387,0.1052764612954186,0.1229489204844655,0.1409373354397051,0.1588414955239599,0.1772933122696156
nutch-1.10,0.0172820680390661,0.0350724321969284,0.0527720291907199,0.0709799223033075,0.0890425879533819,0.1070689467378281,0.1254583741785571,0.1442834840068257,0.1627818320444396,0.1816069418727081
nutch-1.12,0.0170222092343658,0.0346434833430742,0.0524108708357685,0.0704704850964348,0.0883109292811221,0.1061805961426066,0.1243571011104617,0.1428404441846873,0.1612215078901227,0.1798509643483343
nutch-1.13,0.0163243057149414,0.0332367454670644,0.049876635299518,0.0672481064952949,0.0842896488409456,0.1013598806518246,0.118616593986688,0.1364184071608905,0.1539333256828092,0.1720076887766812
nutch-1.14,0.0168554887676241,0.0343203789368715,0.051619068723858,0.0694994598487576,0.0871028503365557,0.1048585911747597,0.1227805323952245,0.141021024348356,0.1589429655688208,0.177321957840503
nutch-1.15,0.015213377369776,0.0311029048448755,0.0468754063402075,0.0627519309286661,0.0786934699503289,0.0946480118586326,0.1107975970665487,0.1271422255740774,0.1433178165552752,0.1598704912490572
storm-0.9.3,0.0025698643061987,0.0051769730226321,0.0078213261493004,0.0105277532930266,0.0132341804367527,0.015878533563421,0.0185849607071472,0.0213038026542849,0.0240474742082459,0.0268283901724416
storm-1.0.0,0.0051940615925729,0.0106516888652588,0.0160729622510326,0.0215215010519906,0.0269291417301723,0.0323958574745863,0.0378671174548643,0.0434792487469269,0.0490004953217091,0.0546489805006839
